feature,mean_abs_shap
ext_source_mean,0.38224674905294986
credit_to_annuity_ratio,0.13016750826770213
prev_credit_ratio,0.11601733370042853
credit_to_goods_ratio,0.10950988228387637
inst_late_ratio,0.1023423593225535
days_employed,0.09582112469398876
annuity_amount,0.09147824053248126
education_type,0.09046239627641038
debt_credit_ratio,0.08961946969925817
ext_source_3,0.06678820767825355
ext_source_2_x_3,0.0634517727215645
prev_refused_ratio,0.059398348219677856
occupation_type,0.05440173007822153
cc_utilization_avg,0.053940368195996805
bureau_active_count,0.0529348327709014
ext_source_1,0.05220204702688941
days_id_publish,0.04917790322621256
age_years,0.04898709515929296
family_status,0.04838979639856332
ext_source_2,0.04633658068225415
ext_source_1_x_2,0.0451812117637399
bureau_overdue_max,0.04198446157345723
ratio_annuity_income,0.04028650606342697
prev_application_count,0.036849523415916366
organization_type,0.03603835374930981
own_car_age,0.03576687866130685
region_rating,0.035217604960120906
age_group,0.03509581255725025
ext_source_1_x_2_x_3,0.03502563474683988
flag_document_3,0.03400364217353714
employed_to_birth_ratio,0.03345195285054687
owns_car,0.03226391808439331
cc_atm_ratio,0.028629360573154516
days_registration,0.02829257787803817
inst_payment_ratio,0.027240018790789553
years_employed,0.027208320133969184
req_bureau_qrt,0.02608952706729205
bureau_debt_total,0.026035802813546748
days_last_phone_change,0.024107201478828135
phone_to_birth_ratio,0.02366239851554474
bureau_credit_count,0.023318971240635394
inst_late_avg,0.02202647432606988
ratio_income_credit,0.02059454580289553
is_working,0.02058578051884746
credit_amount,0.019585916493597498
inst_late_max,0.017846028140441835
req_bureau_year,0.015076342454178871
income_type,0.014112940768248592
reg_city_not_work_city,0.012853264582033737
income_per_family_member,0.012110909996975477
loan_types_bureau,0.011572978731036248
pos_late_ratio,0.010503684846836702
def_60_social_ratio,0.009679034627802277
def_30_social_ratio,0.009636686343555668
cc_late_ratio,0.008964595927987701
def_60_social_circle,0.008787543607928648
income_amount,0.008416355716322415
def_30_social_circle,0.00806364371459692
income_per_child,0.007652863496575765
bb_had_severe_overdue,0.007631298209258819
prev_refused_count,0.007510913803791878
req_bureau_mon,0.005968123676021373
bb_bad_months_ratio,0.0058589052809916616
bb_bad_months,0.0049879072359123675
obs_30_social_circle,0.004836693115314824
pos_dpd_max,0.004268613787891506
obs_60_social_circle,0.0035859582591583838
cnt_fam_members,0.002963547916818448
req_bureau_recent,0.00268909176439833
req_bureau_week,0.002525521710636562
owns_realty,0.0023717847631890593
cnt_children,0.0023520407718197757
req_bureau_day,0.002331765959678389
req_bureau_hour,0.0018229814370987695
overdue_debt_ratio,0.0015040844136729795
is_pensioner,0.0008222085139683302
is_unemployed,1.5773741680506636e-05
is_employed,0.0
ext_source_1_available,0.0
