feature,mean_abs_shap
ext_source_mean,0.3812903570543215
credit_to_annuity_ratio,0.13311492921510218
inst_late_ratio,0.1126637521983794
prev_credit_ratio,0.10722477683029621
credit_to_goods_ratio,0.10111489271619206
annuity_amount,0.09019375008336822
organization_type,0.08765664270931822
debt_credit_ratio,0.08404401219304934
ext_source_3,0.08031675896559463
ext_source_2_x_3,0.0793381421745624
occupation_type,0.07924114142250334
own_car_age,0.07778191294285193
bureau_active_count,0.07659053658052546
education_type,0.07361231065336246
prev_refused_ratio,0.05891588425670071
days_employed,0.05819411631182101
cc_utilization_avg,0.05327396626351318
bureau_overdue_max,0.05164717828415118
family_status,0.04939373071140277
days_id_publish,0.049311157143449996
age_years,0.04718465570558297
ext_source_1,0.04718086112685789
ext_source_1_x_2,0.046774703751114484
ratio_annuity_income,0.04535322695900087
ext_source_2,0.03966338637778165
region_rating,0.03648081855892967
employed_to_birth_ratio,0.03593413730322864
days_last_phone_change,0.0343760386921454
cc_atm_ratio,0.033488028205294215
prev_application_count,0.03215858405411834
flag_document_3,0.031405104117032984
bureau_debt_total,0.029177655619773875
days_registration,0.02536779590811618
inst_late_avg,0.02460950207552017
inst_payment_ratio,0.023134616620355274
ext_source_1_x_2_x_3,0.022993117633327807
req_bureau_qrt,0.020853298663465147
bb_bad_months_ratio,0.02079657972694828
years_employed,0.018785442443577906
bureau_credit_count,0.01843596757855242
def_60_social_ratio,0.01785976915733838
credit_amount,0.01631664005082463
income_type,0.015988702105659874
def_30_social_ratio,0.014178580341391947
req_bureau_year,0.013167366988999065
inst_late_max,0.013021462027141335
phone_to_birth_ratio,0.011470581311630718
age_group,0.01132882831433549
reg_city_not_work_city,0.011178839772136157
cc_late_ratio,0.00998852299772064
income_per_family_member,0.009985701827787616
ratio_income_credit,0.009459769228954163
obs_30_social_circle,0.007783165604416097
income_amount,0.00741348129331115
obs_60_social_circle,0.007385978387272581
cnt_fam_members,0.007162484822488898
pos_late_ratio,0.006277384801882514
income_per_child,0.004060654963516925
is_working,0.0028813578720456464
prev_refused_count,0.002059931415030946
owns_realty,0.0020544982548157276
overdue_debt_ratio,0.0013497459389075015
pos_dpd_max,0.001178514818491597
bb_bad_months,0.0010697055558234417
def_30_social_circle,0.0006813436125852365
req_bureau_mon,0.00035192039858360815
owns_car,0.00024376968966853283
cnt_children,0.00023031743501480563
is_employed,0.0
is_pensioner,0.0
is_unemployed,0.0
bb_had_severe_overdue,0.0
ext_source_1_available,0.0
def_60_social_circle,0.0
req_bureau_hour,0.0
req_bureau_day,0.0
req_bureau_week,0.0
req_bureau_recent,0.0
loan_types_bureau,0.0
