feature,mean_abs_shap
ext_source_mean,0.41495070054560995
credit_to_annuity_ratio,0.13066757090781042
prev_credit_ratio,0.10838863205222246
credit_to_goods_ratio,0.10660662832891622
education_type,0.08748718105425596
ext_source_2_x_3,0.08581807887636761
inst_late_ratio,0.07527183255578024
organization_type,0.07169508089542036
ext_source_3,0.07062610622207145
own_car_age,0.06921167937333367
occupation_type,0.0691685143091622
annuity_amount,0.06665948594225389
prev_refused_ratio,0.06076881453662013
bureau_active_count,0.05663957248824398
cc_utilization_avg,0.04928521240647256
bureau_debt_total,0.04695780469719714
bureau_credit_count,0.04571699547514441
inst_payment_ratio,0.04522354786910164
ext_source_1_x_2_x_3,0.044980042765716925
age_years,0.04434841039914827
bureau_overdue_max,0.04249176056758414
ratio_annuity_income,0.041875868127702484
days_id_publish,0.04119351635575227
ext_source_1,0.04044464757150555
ext_source_1_x_2,0.039070187722346564
employed_to_birth_ratio,0.03662416717452847
days_employed,0.034926124693383395
days_last_phone_change,0.03433864617268344
family_status,0.033538557331775326
region_rating,0.03350803241843181
ext_source_2,0.033229350727467875
prev_application_count,0.03154091540996272
cc_atm_ratio,0.02847666403944974
years_employed,0.028158300843556493
credit_amount,0.02444923372324274
income_per_family_member,0.01993959280399933
inst_late_avg,0.019620904507180726
flag_document_3,0.018716628336537665
inst_late_max,0.017874596766360162
def_30_social_ratio,0.01748709713152674
req_bureau_qrt,0.017348068107576078
days_registration,0.01734776879973003
ratio_income_credit,0.016326382450937482
phone_to_birth_ratio,0.014805198695037776
def_60_social_ratio,0.012384057568021297
income_type,0.011524915919990565
bb_bad_months_ratio,0.01125224788491896
cc_late_ratio,0.010014781943960879
pos_late_ratio,0.009929901503310388
req_bureau_year,0.008183874393700021
income_amount,0.008076397665154172
obs_60_social_circle,0.007076585970078962
income_per_child,0.00681677124062202
obs_30_social_circle,0.005864028423837812
bb_bad_months,0.005325197991039508
prev_refused_count,0.0049342865477902
reg_city_not_work_city,0.004602340468160673
pos_dpd_max,0.0041850573924465265
def_30_social_circle,0.00397957083100502
owns_car,0.0036158811840418005
age_group,0.003055306872339311
cnt_fam_members,0.002880485466261678
is_working,0.0026200337419743577
def_60_social_circle,0.002462348520286912
req_bureau_mon,0.002072199711171961
cnt_children,0.001725656978694101
req_bureau_recent,0.0012180976360063106
owns_realty,0.0011094481161343936
req_bureau_week,0.0009769404181595059
req_bureau_day,0.0008238101341227752
bb_had_severe_overdue,0.0007269101147729561
ext_source_1_available,0.000575284519184617
is_employed,0.00019676469021463657
req_bureau_hour,0.00015937586719554718
is_unemployed,0.0
is_pensioner,0.0
